AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;CONVENIO_SEP;AÑO_INGRESO_SEP;CLASIFICACION_SEP;EE_GRATUITO;N_PRIO;N_PRIO_BEN;N_PREF;N_PREF_BEN;N_BEN
2022;25995;0;CENTRO POLITEC. CARLOS CONDELL DE LA CISTERNA;13;131;13109;LA CISTERNA;132;SANTIAGO SUR;3;2;0;1;1;2022;EMERGENTE;1;406;406;120;120;526
2022;25996;9;ESCUELA ESP. EL CARMEN;13;134;13403;CALERA DE TANGO;132;SANTIAGO SUR;3;2;0;1;0;0;SIN SEP;1;33;0;9;0;0
2022;25997;7;ESCUELA ESP. KINCUIN;13;134;13401;SAN BERNARDO;132;SANTIAGO SUR;3;2;0;1;1;2022;EMERGENTE;1;47;27;36;18;45
2022;25998;5;ESCUELA ESP. TU ESPERANZA;13;131;13121;PEDRO AGUIRRE CERDA;131;SANTIAGO CENTRO;3;2;0;1;0;0;SIN SEP;0;9;0;8;0;0
2022;25999;3;COLEGIO ALICANTE DEL SOL;13;132;13201;PUENTE ALTO;136;CORDILLERA;3;2;0;1;0;0;SIN SEP;0;606;0;991;0;0
2022;26000;2;ESCUELA ESP. SOL DE LA REINA;13;131;13113;LA REINA;133;SANTIAGO ORIENTE;3;2;0;1;0;0;SIN SEP;1;51;0;21;0;0
2022;26001;0;COLEGIO ALICANTE DE LA FLORIDA;13;131;13110;LA FLORIDA;136;CORDILLERA;3;2;0;1;0;0;SIN SEP;0;210;0;371;0;0
2022;26003;7;ESC. ESPECIAL ELSA MATILDE ULRICH JARA;13;133;13301;COLINA;137;SANTIAGO NORTE;1;1;0;1;0;0;SIN SEP;1;93;0;30;0;0
2022;26004;5;ESCUELA ESP. RENACERES;13;131;13127;RECOLETA;137;SANTIAGO NORTE;3;2;0;1;0;0;SIN SEP;1;26;0;17;0;0
2022;26005;3;ESCUELA ESP. MI MUNDO EN PALABRAS;13;131;13117;LO PRADO;134;SANTIAGO PONIENTE;3;2;0;1;0;0;SIN SEP;1;41;0;18;0;0
2022;26006;1;COLEGIO ECOLOGICO PAINE;13;134;13404;PAINE;132;SANTIAGO SUR;3;2;0;1;0;2016;SIN SEP;1;322;0;176;0;0
2022;26012;6;COLEGIO BICENTENARIO MODERNO PAINE;13;134;13404;PAINE;132;SANTIAGO SUR;3;2;0;1;1;2019;EMERGENTE;1;564;564;266;266;830
2022;26013;4;ESCUELA ESP. JOSE MAZA FERNANDEZ;13;131;13112;LA PINTANA;136;CORDILLERA;3;2;0;1;0;0;SIN SEP;1;39;0;8;0;0
2022;26014;2;ESCUELA ESP. BILBAO;13;136;13605;PEÑAFLOR;135;TALAGANTE;3;2;0;1;0;0;SIN SEP;1;18;0;10;0;0
2022;26015;0;ESC.BASICA Y ESP.MARIA DE LOS ANGELES DE BUIN;13;134;13402;BUIN;132;SANTIAGO SUR;3;2;1;1;1;2022;EMERGENTE;1;150;92;40;25;117
2022;26016;9;ESCUELA ESP. ESPERANZA DE EL BOSQUE;13;131;13105;EL BOSQUE;132;SANTIAGO SUR;3;2;0;1;0;0;SIN SEP;1;59;0;11;0;0
2022;26017;7;ESCUELA BAS. KINGS SCHOOL;13;134;13401;SAN BERNARDO;132;SANTIAGO SUR;3;2;0;1;1;2021;AUTONOMO;0;191;191;199;0;191
2022;26019;3;ESCUELA BASICA Y ESPECIAL N° 2078 GENESIS 2005;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;3;2;0;1;1;2021;EMERGENTE;1;125;103;47;33;136
2022;26021;5;ESC. DE PARV. Y ESP. SAN PIO DE TALAGANTE;13;136;13601;TALAGANTE;135;TALAGANTE;3;2;0;1;1;2017;EMERGENTE;1;78;31;50;16;47
2022;26022;3;ESCUELA ESP. FERNANDA FRIAS RETAMAL;13;131;13127;RECOLETA;137;SANTIAGO NORTE;3;2;0;1;0;0;SIN SEP;1;38;0;7;0;0
2022;26025;8;COLEGIO SANTA BARBARA COLLEGE;13;131;13105;EL BOSQUE;132;SANTIAGO SUR;3;2;0;1;1;2021;EMERGENTE;1;346;304;99;93;397
2022;26027;4;COLEGIO DE AD. INSTITUTO NUEVA IMAGEN;13;136;13605;PEÑAFLOR;135;TALAGANTE;3;2;0;1;0;0;SIN SEP;1;12;0;2;0;0
2022;26028;2;COLEGIO EMMANUEL HIGH SCHOOL;13;131;13110;LA FLORIDA;136;CORDILLERA;4;3;0;1;0;0;SIN SEP;0;38;0;77;0;0
2022;26030;4;COLEGIO DE ADULTOS INSTITUTO NUEVO BILBAO;13;131;13123;PROVIDENCIA;133;SANTIAGO ORIENTE;4;3;0;1;0;0;SIN SEP;0;32;0;17;0;0
2022;26031;2;ESCUELA DE PARV. MI PRIMERA AVENTURA;13;131;13118;MACUL;133;SANTIAGO ORIENTE;3;2;0;1;0;0;SIN SEP;0;3;0;7;0;0
